target,site,host_is_ip,url_len,url_path_len,url_path_str,url_query_cnt,url_query_str
0,163open,0,42,7,42,0,0
0,163open,0,18,3,7,0,10
0,163open,0,42,7,42,0,0
0,163open,0,42,7,42,0,0
0,163open,0,66,2,8,4,57
0,163open,0,148,7,74,3,73
0,163open,0,498,2,5,15,492
0,163open,0,102,3,11,4,90
0,163open,0,563,3,24,15,538
0,163open,0,170,3,18,6,151
0,163open,0,228,9,91,8,136
0,163open,0,53,5,37,1,15
0,163open,0,229,9,91,8,137
0,163open,0,43,3,14,2,28
0,163open,0,36,5,36,0,0
0,163open,0,25,3,11,1,13
1,163open,0,47,8,47,0,0
0,163open,0,9,2,9,0,0
1,163open,0,61,8,47,1,13
0,163open,0,1,1,1,0,0
0,163open,0,31,4,31,0,0
0,163open,0,7,2,7,0,0
0,163open,0,15,2,6,0,8
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,17,2,6,0,10
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,1,1,1,0,0
0,163open,0,7,2,7,0,0
0,163open,0,323,2,10,9,312
0,163open,0,283,2,13,24,269
0,163open,0,15,2,6,0,8
0,163open,0,89,6,48,3,40
0,163open,0,86,6,48,3,37
0,163open,0,98,4,26,3,71
0,163open,0,17,2,6,0,10
0,163open,0,34,5,34,0,0
0,163open,0,34,5,34,0,0
0,163open,0,34,5,34,0,0
0,163open,0,8,3,8,0,0
0,163open,0,8,3,8,0,0
0,163open,0,8,3,8,0,0
0,163open,0,8,3,8,0,0
0,163open,0,18,3,7,0,10
0,163open,0,1,1,1,0,0
0,163open,0,15,2,6,0,8
0,163open,0,109,3,12,5,96
0,163open,0,72,3,22,1,49
0,163open,0,17,2,6,0,10
0,163open,0,44,3,11,2,32
0,163open,0,251,2,11,7,239
0,163open,0,138,4,29,4,108
0,163open,0,44,6,44,0,0
0,163open,0,1,1,1,0,0
0,163open,0,15,2,6,0,8
0,163open,0,17,2,6,0,10
0,163open,0,18,3,7,0,10
0,163open,0,20,2,20,0,0
0,163open,0,15,3,15,0,0
0,163open,0,1,1,1,0,0
0,163open,0,1,1,1,0,0
0,163open,0,1,1,1,0,0
0,163open,0,15,2,6,0,8
0,163open,0,37,2,37,0,0
0,163open,0,72,3,22,1,49
0,163open,0,88,6,48,3,39
0,163open,0,121,2,121,0,0
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,37,2,37,0,0
0,163open,0,17,2,6,0,10
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,1,1,1,0,0
0,163open,0,15,2,6,0,8
0,163open,0,17,2,6,0,10
0,163open,0,18,3,7,0,10
0,163open,0,1,1,1,0,0
0,163open,0,31,4,31,0,0
0,163open,0,7,2,7,0,0
0,163open,0,15,2,6,0,8
0,163open,0,72,3,22,1,49
0,163open,0,17,2,6,0,10
0,163open,0,38,2,38,0,0
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,128,3,22,1,105
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,128,3,22,1,105
0,163open,0,72,3,22,1,49
0,163open,0,38,2,38,0,0
0,163open,0,1,1,1,0,0
0,163open,0,15,2,6,0,8
0,163open,0,86,6,48,3,37
0,163open,0,98,4,26,3,71
0,163open,0,89,6,48,3,40
0,163open,0,119,2,119,0,0
0,163open,0,17,2,6,0,10
0,163open,0,34,5,34,0,0
0,163open,0,34,5,34,0,0
0,163open,0,34,5,34,0,0
0,163open,0,18,3,7,0,10
0,163open,0,1,1,1,0,0
0,163open,0,167,4,31,8,135
0,163open,0,31,4,31,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,38,2,38,0,0
0,163open,0,15,2,6,0,8
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
0,163open,0,17,2,6,0,10
0,163open,0,72,3,22,1,49
0,163open,0,72,3,22,1,49
